[CharacterID],[ProfileMapId],[FirstName],[LastName],[Codename],[Gender],[Age],[DOB_Day],[DOB_Month],[DOB_Year],[Height],[NationalityId],[RaceId],[Timeline],[TitleId],[ArchetypeId],[TeamId],[Description]
CHR0001,PR0001,Dominic,Zotts,,Male,24,12,8,1993,185 cm,Nation01,Race01,Present,,Neutral,Team07,Non
CHR0002,PR0002,Jett,Mishkan,,Male,24,21,5,1993,190 cm,Nation01,Race01,Present,,Neutral,Team07,Non
CHR0003,PR0003,John,Bishop,,Male,32,30,5,1985,174 cm,Nation01,Race01,Present,,Good,,Non
CHR0004,PR0004,James,Pitzle,,Male,43,4,12,1974,181 cm,Nation01,Race02,Present,,Neutral,Team04,Non
CHR0005,PR0005,Senheiser,Toggar,,Male,31,31,2,1986,182 cm,Nation01,Race03,Present,Mercenary5star,Neutral,Team02,Member of Team BattleRoque.
CHR0006,PR0006,Durell,Sterling,,Male,10,3,8,2007,177 cm,Nation01,Race03,Present,,Good,,Non
CHR0007,PR0007,Riley,Rayjay,,Male,31,15,8,1986,182 cm,Nation01,Race01,Present,Mercenary5star,Neutral,Team06,Team Hunter. 2nd in Command. Melee attacker
CHR0008,PR0008,Tank,Muscang,,Male,28,28,4,1989,170 cm,Nation01,Race01,Present,Mercenary5star,Neutral,Team06,Leader of Hunter. Outlaw group causing small issues. Sniper
CHR0009,PR0009,Calanus,Alvaete,,Male,33,3,3,1984,171 cm,Nation01,Race01,Present,Mercenary5star,Neutral,Team02,Leader of Team BattleRoque
CHR0010,PR0010,Adanna,Marriot,,Female,29,14,3,1988,173 cm,Nation01,Race01,Present,Mercenary5star,Neutral,Team06,Team Hunter. Tanks Girlfriend. Getaway Pilot
CHR0011,PR0011,Ethan,Caleb,,Male,35,8,5,1982,170 cm,Nation01,Race01,Present,Mercenary5star,Neutral,Team02,Member of Team BattleRoque.
CHR0012,PR0012,Jarah,Kovante,,Male,31,15,1,1986,183 cm,Nation01,Race01,Present,Mercenary5star,Neutral,Team06,Team Hunter. Machine of the Group. Defence and Detonator
CHR0013,PR0013,Cadel,Venhought,,Male,21,21,3,1996,174 cm,Nation02,Race01,Present,Student,Good,,Main protagonist of the series. Wields the eye of Taurus. Student at Elfinheim Corp
CHR0014,PR0014,Almiron,Raheem,,Male,22,23,6,1995,155 cm,Nation02,Race01,Present,Student,Good,,Student at Elfinheim Corp
CHR0015,PR0015,Kayathleen,Remington,,Female,21,24,4,1996,146 cm,Nation02,Race01,Present,Student,Good,,Riverlia's VemoMaximou Cadet. Student at Elfinheim Corp
CHR0016,PR0016,Neeva,Cyrano,,Male,21,27,6,1996,141 cm,Nation02,Race01,Present,Student,Good,,Student at Elfinheim Corp
CHR0017,PR0017,Jayden,Edin,,Male,22,6,2,1995,158 cm,Nation02,Race01,Present,Student,Good,,Student at Elfinheim Corp
CHR0018,PR0018,Carmin,Stratford,,Female,22,9,1,1995,175 cm,Nation02,Race01,Present,Student,Good,,Student at Elfinheim Corp
CHR0019,PR0019,Alieallia,Cosarates,,Female,21,28,5,1996,151 cm,Nation02,Race01,Present,Student,Good,Team13,House Cosarates (Vessel). Student at Elfinheim Corp
CHR0020,PR0020,Hatem,Denzel,,Male,22,4,3,1995,156 cm,Nation02,Race01,Present,Student,Good,,Student at Elfinheim Corp
CHR0021,PR0021,Zenoht,Bridge,,Male,21,16,8,1996,180 cm,Nation02,Race01,Present,Student,Good,,Elfinheim's DecimoMaximou Cadet. Student at Elfinheim Corp
CHR0022,PR0022,Kailaas,Ravenshaw,,Female,21,3,5,1996,153 cm,Nation02,Race02,Present,Student,Good,Team13,House Cosarates (Vessel). Student at Elfinheim Corp
